//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   90      "Dark Elf (%d) of Balgass's army was killed by %s"
   91      "Current MvP point is : %d"
   92      "Connected to the pedestal (%d) of the Holy wolf"
   93      "(%s) connected the Muse to the pedestal (%d)"
   94      "The pedestal (%d) of Holy wolf has been connected"
   95      "The connecting time of pedestal (%d) has not started yet"
   96      "The time for connecting to pedestal (%d) of the holy wolf is over"
   97      "The position to connect to pedestal (%d) of the holy wolf is incorrect. Try again" 
   98      "%s is trying to contract altar %d"
   99      "You can start connecting in 5 seconds" 
   100     "Do not move until the connecting is completed"  
   101     "Connecting to the pedestal (%d) is canceled"
   102     "The barrier of the holy wolf statue has disappeared" 
   103     "Statistics of Muses in the holy wolf statue's barrier is %d, HP: %d" 
   104     "The barrier of the Holy Wolf statue has been created"
   105     "Connection requires a Muse level %d or higher"
   110     "Siege Warfare has been concluded"
   111     "Siege Warfare registration period commences"
   112     "All participating guilds for Siege Warfare: please register your Emblem of Lord"
   113     "The Guild selection period for Siege Warfare commences"		
   114     "Guilds have now been selected for Siege Warfare"
   115     "The Siege Warfare preparation period begins! All the guild members, please get ready"
   116     "Siege Warfare will start in %d minute(s)"
   117     "Siege Warfare is being waged!"
   118     "%s guild has succeeded in defending the castle"
   119     "%s guild became a new castle lord"
   120     "The castle lord has not been assigned"
   121     "Only the Guardian statue has been left"
   122     "You can not invoke Life Stone outside Castle Siege"
   123     "Only offensive alliance can invoke Life Stone"
   124     "A Life Stone has been invoked"
   125     "You can not invoke Life Stone inside Dragon Tower"
   126     "A Life Stone was successfully invoked"
   127     "A Life Stone failed to be invoked"
   128     "You can not invoke soldier out of Castle Siege"
   129     "Only defensive alliance can invoke soldier"
   130     "Only guild leader and his assistant can invoke soldier"
   131     "Maximum number of soldiers has been exceeded"
   132     "Soldier has been successfully invoked"
   133     "Soldier failed to be invoked"
   135     "Moss Merchant appeared!"
   136     "Moss Merchant left!"
   137     "Moss Merchant was retired since you can not buy"
   138     "You do not have enough space in the inventory"
   140     "Selupan has appeared. The Hatchery Gates will be closed in %d minute(s)"
   141     "The Hatchery Gate is closed, you cannot enter"
   142     "Selupan killed by %s"
   143     "Hatchery Gates will open in %d minute(s)"
   144     "The Hatchery Gate is opened!"
   145     "Hatchery Gate is closed"
   147     "Ice Walker appeared!"
   148     "You're not strong enough to enter in Double Goer"
   149     "Ice Walker was defeated!"
   151     "You're not strong enough to enter in Imperial Guardian"
   154     "Welcome back %s!"
   155     "Account type: Free"
   156     "Account type: Bronze (%s)"
   157     "Account type: Silver (%s)"
   158     "Account type: Gold (%s)"
   159     "You can not enter with transformation rings or mounted on pets!"
   160     "Target player is not online"
   161     "You can not duel at this time"
   162     "Target player refused his duel application automatically"
   163     "Have you ever asked or been asked to duel"
   164     "Target player ever asked or been asked to duel"
   165     "You can not duel being in Guild War"
   166     "Target player can not duel in Guild War"
   167     "You can not duel in this map"
   168     "You can not duel during Castle Siege"
   169     "Target player name is invalid"
   170     "You can not duel with Self Defense"
   171     "Player can not target duel Self Defense"
   172     "Target player refused his request duel"
   173     "All arenas are full at moment"
   174     "Duel between %s and %s started!"
   175     "Duel room %d [%s] (%d) VS (%d) [%s]"
   176     "Player %s won %s duel!"
   180     "This store is not selling for now!"
   181     "This store is only for Game Masters!"
   182     "You do not have permission to buy here!"
   183     "Obtained Coin1: %d Coin2: %d Coin3: %d"
   184     "I do not trade with murderers!"
   190     "Position of player %s has been changed to Guild Leader Assistant"
   191     "Position of player %s has been changed to Battlemaster"
   192     "Position of player %s has been changed to Guild Member"
   193     "Type of guild %s was changed to %d"
   194     "Guild has entered alliance %s"
   195     "Guild is now enemy of guild %s"
   196     "Guild %s entered alliance %s"
   197     "Guild withdrew from alliance"
   198     "Guild %s withdrew from alliance %s"
   199     "Guild is not more alliance %s"
   200     "Guild is not more enemy guild %s"
   201     "Alliance was undone %s"
   224     "You must be at least level %d to move"
   225     "You must be at least %d zen to move"
   226     "You can not move at this time"
   227     "Assassins can not move"
   228     "You do not have correct equipment to move"
   229     "Only members of families of gens can move"
   230     "You need to be max level %d to move"
   231     "You must be at least %d resets to move"
   232     "You need to have a maximum of %d resets to move"
   240     "Senior is not currently active"
   241     "Senior does not work during Castle Siege"
   242     "You have to be in guild owner of castle to use Senior"
   243     "You must be owner of guild to use Senior"
   244     "Guardsman does not work during Castle Siege"
   245     "You are already in a guild"
   246     "You do not have enough level to create a guild"
   247     "You do not have enough reset to create a guild"
   257     "You must be at least level 40 to use ring"
   258     "You must be at least level 80 to use ring"
   259     "You can not move to this map at time"
   260     "You can not pick up this item at this time"
   261     "You can not leave game with an open Trade"
   262     "You can not leave game with an open Chest"
   263     "You can not leave game with Chaos Machine open"
   264     "You can not leave game with an open Trainer"
   265     "You can not quit game being in Self Defense"
   266     "You're at maximum level"
   267     "You're at maximum level master"
   268     "You can only add %d points"
   269     "You can not talk during %d minutes"
   270     "You can not send message to yourself"
   272     "It was not possible to carry out teleportation"
   273     "You will be teleported in %d second(s)"
   274     "You can not move this map with mount"
   275     "You can not move to this map without wing"
   276     "Gift CashShop"
   277     "%s won %d %s" 
   280     "Server closed"
   281     "Server will automatically close in %d second(s)"
   282     "This is a duplicate item, please contact with administrator"
   283     "Your chat lockout ended"
   284     "Self defense against %s started"
   285     "Self defense against %s finished"
   286     "Server will shut down automatically in %d minute(s)"
   287     "Game will start automatically in 10 seconds(s)"
   288     "Someone logged in with your account!"
   289     "You will quit game in %d second(s)"
   300     "You have to wait %d seconds to use %s"
   301     "You do not have permission to use %s"
   302     "You must be at least level %d to use %s"
   303     "You need to have a maximum of %d level to use %s"
   304     "You must be at least %d resets to use %s"
   305     "You need to have a maximum of %d resets to use %s"
   306     "You must be at least %d Money to use %s"
   307     "You must be at least %d Coin1 to use %s"
   308     "You must be at least %d Coin2 to use %s"
   309     "You must be at least %d Coin3 to use %s"
   320     "Requests received: On"
   321     "Requests received: Off"
   322     "Requests received: Auto"
   323     "[POST] %s"
   324     "Exclusive Command Dark Lord"
   325     "You do not have enough points to add"
   326     "You added %d points, remaining %d points to be distributed"
   327     "Automatic points add: On (%d)"
   328     "Automatic points add: Off"
   329     "You're not PK"
   330     "You cleared your PK"
   331     "You can not evolve more"
   332     "You successfully evolved"
   333     "You can not change chest at moment"
   334     "You have entered an invalid chest to change"
   335     "You moved to chest %d successfully"
   336     "You can not reset at time"
   337     "You must be at least level %d to reset"
   338     "You must have at least %d Zen to reset"
   339     "You must have at least %d Coin1 to reset"
   340     "You must have at least %d Coin2 to reset"
   341     "You must have at least %d Coin3 to reset"
   342     "You can not have more than %d resets"
   343     "You can not reset with items equipped"
   344     "You do not have permission to use auto reset"
   345     "Automatic reset: On"
   346     "Automatic Reset: Off"
   347     "You can only reset %d times a day"
   348     "You can only reset %d times a week"
   349     "You can only reset %d times a month"
   350     "You successfully reseted, and now have %d resets"
   351     "You can not master reset at time"
   352     "You must be at least level %d to master reset"
   353     "You must be at least %d reset to master reset"
   354     "You must have at least %d Zen to master reset"
   355     "You must have at least %d Coin1 to master reset"
   356     "You must have at least %d Coin2 to master reset"
   357     "You must have at least %d Coin3 to master reset"
   358     "You can not have more than %d master resets"
   359     "You can not master reset with items equipped"
   360     "You can only master reset %d times a day"
   361     "You can only master reset %d times a week"
   362     "You can only master reset %d times a month"
   363     "You successfully reseted, and now have %d master resets"
   364     "You cleared your inventory"
   365     "Points restored successfully!"
   366     "Only master level characters can use this command."
   367     "You have entered an invalid tree to reset"
   368     "You tree has been reset successfully!"
   369     "Target player not found or not connected!"
   370     "[%s] %s"
   371     "You successfully created item!"
   372     "Character edited successfully!"
   373     "You were edited by game master %s!"
   374     "The game master %s has modified your coins!"
   375     "Coins edited successfully!"
   376     "Level of PK established!"
   377     "Your account level was modified!"
   378     "Account level established!"
   379     "Target guild not found!"
   380     "You can not create monsters in the safe zone!"
   381     "The creation of the monster has failed!"
   382     "You can not create NPC."
   383     "[PK] %s was killed by %s!"
   384     "You must have at least %d Coin1 to buy this"
   385     "You must have at least %d Coin2 to buy this"
   386     "You must have at least %d Coin3 to buy this"
   387     "You cannot use this command at this moment."
   388     "You used an invalid jewel."
   389     "You used an invalid number."
   390     "You dont have this kind of Jewel."
   391     "You dont have this number of Jewels."
   392     "You dont have space in your inventory."
   395     "Buff does not exist!"
   400     "Halloween Event started"
   401     "Halloween Event finished"
   402     "Cherry Blossom Event started"
   403     "Cherry Blossom Event finished"
   450     "This command can only be activated outside the safe zone."
   451     "You have nothing configured, first configure the command."
   452     "Auto Pick: On (Items: %d Zen: %d Jewels: %d Exc: %d Set: %d)"
   453     "Auto Pick: Off"
   454     "[Auto Pick] Please enter the syntax."
   455     "[Auto Pick] Setted Slot: %d, Syntax: %s"
   456     "[Auto Pick] All settings were reset!"
   457     "[Auto Pick] Setted (Zen: %d Jewels: %d Exc: %d Set: %d)"
   458     "The maximum time that can pick automatically has been reached"
   459     "[Auto Pick] Syntax must be at least 4 characters!"
   460     "[Auto Pick] It cannot store more syntax!"
   500     "%s put the item %s +%d"
   501     "[%s] will close in %d minute(s)"
   502     "[%s] closed"
   503     "[%s] will start in %d minute(s)"
   504     "[%s] started"
   505     "[%s] finished"
   506     "[%s] %s is the winner"
   507     "[%s] You got in the %d position with %d points"
   508     "You can not enter the arena"
   509     "This arena is not currently open"
   510     "Exceeded maximum number of players"
   511     "You must be at least Level %d"
   512     "You must be a maximum of Level %d"
   513     "You must be at least Master Level %d"
   514     "You must be a maximum of Master Level %d"
   515     "You must be at least %d Resets"
   516     "You need to have a maximum of %d Resets"
   517     "You must be at least %d Master Resets"
   518     "You need to have a maximum of %d Master Resets"
   519     "His class is not allowed in the arena"
   525     "[%s] will start in %d minute(s)"
   526     "[%s] started"
   527     "[%s] finished"
   530     "Luke Helper appears in %d minute(s)"
   531     "Luke Helper appeared in %s!"
   532     "Find it to get a reward!"
   533     "Luke Helper left, nobody got lucky."
   534     "You are lucky, here your reward!"
   535     "Luke Helper was found by %s!"
   540     "You need to open the Personal Store before"
   541     "You can only activate the command in the safe zone"
   542     "Personal Shop is empty or items are without price"
   543     ".::BLESS STORE::."
   544     ".::SOUL STORE::."
   545     ".::LIFE STORE::."
   546     ".::CHAOS STORE::."
   547     ".::CREATION STORE::."
   548     ".::GUARDIAN STORE::."
   549     ".::HARMONY STORE::."
   550     ".::COIN1 STORE::."
   551     ".::COIN2 STORE::."
   552     ".::COIN3 STORE::."
   553     "This store sell Items for JEWEL OF BLESS"
   554     "This store sell Items for JEWEL OF SOUL"
   555     "This store sell Items for JEWEL OF LIFE"
   556     "This store sell Items for JEWEL OF CHAOS"
   557     "This store sell Items for JEWEL OF CREATION"
   558     "This store sell Items for JEWEL OF GUARDIAN"
   559     "This store sell Items for JEWEL OF HARMONY"
   560     "This store sell Items for COIN 1"
   561     "This store sell Items for COIN 2"
   562     "This store sell Items for COIN 3"
   570     "You can not use offline helper command with disabled helper!"
   571     "You cannot use the helper with attack command active!"
   572     "Auto attack disable!"
   573     "You cannot use the attack command with active helper!"
   574     "You can't use the command in this location"
   575     "You don't have any skill to use in auto attack"
   576     "Auto attack enable!"
   577     "You need to enable auto attack first"
   578     "The maximum time that can attack automatically has been reached"
   580     "Skeleton King invasion has begun!"
   581     "Invasion of Red Dragon started!"
   582     "Invasion of Dourados started!"
   583     "Invasion of White Wizard started!"
   584     "New Year invasion has begun!"
   585     "Invasion of rabbits started!"
   586     "Invasion of summer started!"
   587     "Christmas invasion has begun!"
   588     "Invasion of Medusa began!"
   590     "Player %s defeated Skeleton King on %s!"
   591     "Player %s defeated Red Dragon on %s!"
   592     "Player %s defeated Golden Great Dragon on %s!"
   593     "Player %s defeated White Wizard on %s!"
   594     "Player %s defeated Cursed Santa on %s!"
   595     "Player %s defeated Medusa on %s!"
   596     "Invoking Demons invasion has begun!"
   597     "Invasion of Egg began!"
   600     "Give me Jewels and in return I will give you an item at random."
   601     "You do not have enough space in your inventory!"
   602     "Thank you, I hope to see you soon!"
   603     "This time you did not have luck!"
   605     "The gift entered was not found!"
   606     "You do not have the minimum level required to receive this gift."
   607     "You have exceeded the maximum level to receive this gift."
   608     "You do not have the minimum resets required to receive this gift."
   609     "You have exceeded the maximum resets to receive this gift."
   610     "You can not receive this gift!"
   611     "You can no longer receive this gift!"
   612     "Gift received successfully!"
   620     "Come back when you have at least %d %s!"
   650     "You can not marry yourself!"
   651     "You can not marry at this moment!"
   652     "You are already married to %s!"
   653     "%s is already married!"
   654     "Homosexual marriages are not allowed."
   655     "Both must be in front of the altar of the church in Devias!"
   656     "Both require %d %s to get married!"
   657     "[MARRIAGE] Your marriage proposal was sent!"
   658     "[MARRIAGE] %s wants to marry you!"
   659     "The time to accept the petition expired."
   660     "Your couple is gone."
   661     "Congratulations! You married with %s!"
   662     "Congratulations %s and %s who got married!"
   663     "You can not divorce at this time!"
   664     "You require %d %s to get divorce!"
   665     "His divorce was successful, good luck next time."
   666     "Your couple is not connected at this time!"
   667     "You can not go with your couple at this time!"
   668     "You can't follow your partner being a murderer!"
   670     "Account %s has been locked!"
   671     "Character %s has been locked!"
   674     "The plan entered was not found!"
   675     "You can not acquire this plan!"
   676     "You must be at least %d Money to acquire this plan!"
   677     "You must be at least %d Coin1 to acquire this plan!"
   678     "You must be at least %d Coin2 to acquire this plan!"
   679     "You must be at least %d Coin3 to acquire this plan!"
   680     "Plan acquired successfully!"
   685     "You were banned by the administrator!"
   686     "%s was blocked!"
   687     "%s was unblocked!"
   688     "You have %d day %d hour %d minute left on the outlaw status."
   689     "The new name must be at least 4 characters long"
   690     "You must be in the safe zone to use this command"
   691     "I can't use any interface when using this command"
   692     "An unexpected error occurred please try later"
   693     "This name is already in use, choose another"
   694     "The new name was established, changing character"
   695     "The name entered was not found in the database"
   696     "Character name entered is incorrect!"
   697     "The password entered is invalid"
   698     "Your friend has been disconnected!"
   699     "Enter the minutes that chat is blocked"
   700     "Chat of %s has been unlocked"
   701     "Chat of %s has been blocked for %d minutes"
   702     "Acheron Guardian will start in %d minute(s)"
   703     "The Acheron Guardian started"
   704     "The Acheron Guardian ended"
   705     "The Obelisk was destroyed by %s"
   706     "The masters registration period of Arca Battle began"
   707     "The members registration period of Arca Battle began"
   708     "The Arca Battle is ready to start"
   709     "The entrance to the Arca Battle is now available"
   710     "The Arca Battle started"
   711     "The Arca Battle ended"
   712     "First must leave your guild!"
   713     "You can only enter Blood Castle %d times in a day"
   714     "You can only enter Chaos Castle %d times in a day"
   715     "You can only enter Devil Square %d times in a day"
   716     "You can only enter Double Goer %d times in a day"
   717     "You can only enter Illusion Temple %d times in a day"
   718     "You can only enter Imperial Guardian %d times in a day"
   719     "Speed Hack was detected and a record was created."
   720     "Duel between %s and %s started!"
   721     "Duel [%s] (%d) VS (%d) [%s]"
   722     "Player %s won %s duel!"
   723     "You are using words not allowed on this server!"
   724     "Player %s won %d money!"
   725     "%d minute(s) left until Devil Square opens"
   726     "[Devil Square] The gates of Devil Square are open!"
   727     "%d minute(s) left until Blood Castle opens"
   728     "%d minute(s) left until Chaos Castle opens"
   729     "%d minute(s) left until Illusion Temple opens"
   730     "%d minute(s) left until Chaos Castle Survival opens"
end
