//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//             [*/0~2] [10~15]     [0~10000]        [0~10000]              [0~10000]      [0~10000]       [0~1000000]       [0~1000000]       [0-1]            [0-1]          [0-1]        [0-1]      [0-1]        [*/0~1]        [*/0~1]       [*/0~1]       [0-1]        [0~1]         [0~1]        [0~1]            [*/0/N]     [*/0/N]       [Max 32 Char]
// MapNumber   NonPK   ViewRange   ExperienceRate   MasterExperienceRate   ItemDropRate   MoneyDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   ItemDrop   PKItemDrop   MonsterHPBar   TradeEnable   PShopEnable   ChatEnable   PartyEnable   DuelEnable   GuildWarEnable   SpawnGate   RespawnGate   Name
// -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   40          *       12          100              100                    100            100             1000              0                 0                1              0            0          0            *              *             *             1            1             0            0                *           *             "Silent"
   41          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             1            1                *           *             "Barracks of Balgass"
   42          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             1            1                *           *             "Balgass Refuge"
   45          *       12          100              100                    100            100             1000              0                 0                1              0            1          0            *              *             *             1            1             0            0                *           *             "Illusion Temple 1"
   46          *       12          100              100                    100            100             1000              0                 0                1              0            1          0            *              *             *             1            1             0            0                *           *             "Illusion Temple 2"
   47          *       12          100              100                    100            100             1000              0                 0                1              0            1          0            *              *             *             1            1             0            0                *           *             "Illusion Temple 3"
   48          *       12          100              100                    100            100             1000              0                 0                1              0            1          0            *              *             *             1            1             0            0                *           *             "Illusion Temple 4"
   49          *       12          100              100                    100            100             1000              0                 0                1              0            1          0            *              *             *             1            1             0            0                *           *             "Illusion Temple 5"
   50          *       12          100              100                    100            100             1000              0                 0                1              0            1          0            *              *             *             1            1             0            0                *           *             "Illusion Temple 6"
   51          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             1            1                *           *             "Elbeland"
   52          *       10          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 8"
   53          *       10          100              100                    100            100             1000              0                 0                0              0            0          0            0              *             *             1            1             0            0                *           *             "Chaos Castle 7"
   56          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             1            1                *           *             "Swamp of Calmness"
   57          *       12          100              100                    100            100             1000              0                 1                1              0            1          1            *              *             *             1            1             1            1                *           *             "Raklion 1"
   58          *       12          100              100                    100            100             1000              0                 1                1              0            1          1            *              *             *             1            1             0            0                *           *             "Raklion 2"
   62          *       12          100              100                    100            100             1000              0                 0                1              0            0          0            *              *             *             1            1             0            0                *           *             "Santa Town"
   63          *       12          100              100                    100            100             1000              0                 0                1              1            1          1            *              *             *             1            1             1            1                *           *             "Vulcanus"
   64          *       12          100              100                    100            100             1000              0                 0                0              0            0          0            *              *             *             1            1             1            0                *           *             "Duel Arena"
   65          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Double Goer 1"
   66          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Double Goer 2"
   67          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Double Goer 3"
   68          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Double Goer 4"
   69          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Imperial Guardian 1"
   70          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Imperial Guardian 2"
   71          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Imperial Guardian 3"
   72          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             0            0                *           *             "Imperial Guardian 4"
   79          *       12          100              100                    100            100             1000              0                 0                1              0            0          0            *              *             *             1            1             0            0                *           *             "Loren Market"
   80          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             1            1                *           *             "Karutan 1"
   81          *       12          100              100                    100            100             1000              0                 0                1              0            1          1            *              *             *             1            1             1            1                *           *             "Karutan 2"
end
