//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]            [Level]   [Skill]   [Luck]    [JoL]     [Exc]     [Set]     [Socket]
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [00,000]    [0~15]      [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]    [*/N]       [*/N]          [*/0~150]         [*/0~150]         [*/0~3]        [0~1000000]
// ItemIndex   ItemLevel   Durability   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterIndex   MonsterMinLevel   MonsterMaxLevel   AccountLevel   ItemDropRate   Comment
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   13,016      6           0            *         *         *         *         *         *         *         0          *           *              77                84                *              1000           //Scroll of Archangel 6
   13,016      7           0            *         *         *         *         *         *         *         0          *           *              85                101               *              1000           //Scroll of Archangel 7
   13,016      8           0            *         *         *         *         *         *         *         0          *           *              102               150               *              1000           //Scroll of Archangel 8
   13,017      1           0            *         *         *         *         *         *         *         0          *           *              1                 32                *              1000           //Blood Bone 1
   13,017      2           0            *         *         *         *         *         *         *         0          *           *              33                45                *              1000           //Blood Bone 2
   13,017      3           0            *         *         *         *         *         *         *         0          *           *              46                57                *              1000           //Blood Bone 3
   13,017      4           0            *         *         *         *         *         *         *         0          *           *              58                68                *              1000           //Blood Bone 4
   13,017      5           0            *         *         *         *         *         *         *         0          *           *              69                76                *              1000           //Blood Bone 5
   13,017      6           0            *         *         *         *         *         *         *         0          *           *              77                84                *              1000           //Blood Bone 6
   13,017      7           0            *         *         *         *         *         *         *         0          *           *              85                101               *              1000           //Blood Bone 7
   13,017      8           0            *         *         *         *         *         *         *         0          *           *              102               150               *              1000           //Blood Bone 8
   13,031      0           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Spirit of Dark Horse        
   13,031      1           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Spirit of Dark Spirit
   13,032      0           0            *         *         *         *         *         *         *         0          34          *              97                134               *              1000           //Splinter of Armor
   13,033      0           0            *         *         *         *         *         *         *         0          34          *              97                134               *              1000           //Bless of Guardian
   13,034      0           0            *         *         *         *         *         *         *         0          34          *              97                134               *              1000           //Claw of Beast
   13,038      0           0            *         *         *         *         *         *         *         0          38          *              25                150               *              1000           //Moonstone Pendant
   13,049      1           0            *         *         *         *         *         *         *         0          *           *              46                57                *              1000           //Old Scroll 1
   13,049      2           0            *         *         *         *         *         *         *         0          *           *              58                68                *              1000           //Old Scroll 2
   13,049      3           0            *         *         *         *         *         *         *         0          *           *              69                76                *              1000           //Old Scroll 3
   13,049      4           0            *         *         *         *         *         *         *         0          *           *              77                84                *              1000           //Old Scroll 4
   13,049      5           0            *         *         *         *         *         *         *         0          *           *              85                101               *              1000           //Old Scroll 5
   13,049      6           0            *         *         *         *         *         *         *         0          *           *              102               150               *              1000           //Old Scroll 6
   13,050      1           0            *         *         *         *         *         *         *         0          *           *              46                57                *              1000           //Illusion Sorcerer Covenant 1
   13,050      2           0            *         *         *         *         *         *         *         0          *           *              58                68                *              1000           //Illusion Sorcerer Covenant 2
   13,050      3           0            *         *         *         *         *         *         *         0          *           *              69                76                *              1000           //Illusion Sorcerer Covenant 3
   13,050      4           0            *         *         *         *         *         *         *         0          *           *              77                84                *              1000           //Illusion Sorcerer Covenant 4
   13,050      5           0            *         *         *         *         *         *         *         0          *           *              85                101               *              1000           //Illusion Sorcerer Covenant 5
   13,050      6           0            *         *         *         *         *         *         *         0          *           *              102               150               *              1000           //Illusion Sorcerer Covenant 6
   13,052      0           0            *         *         *         *         *         *         *         0          41          *              25                150               *              1000           //Condor Flame
   13,066      0           0            *         *         *         *         *         *         *         0          *           466            *                 *                 *              1000           //Invitation to Santa Village
   14,011      1           0            *         *         *         *         *         *         *         0          *           *              12                69                *              1000           //Star of Christmas
   14,011      3           0            *         *         *         *         *         *         *         0          *           *              12                69                *              1000           //Heart of Love
   14,011      5           0            *         *         *         *         *         *         *         0          *           *              12                49                *              1000           //Silver Medal
   14,011      6           0            *         *         *         *         *         *         *         0          *           *              50                69                *              1000           //Gold Medal
   14,011      7           0            *         *         *         *         *         *         *         0          *           *              50                69                *              1000           //Box of Heaven
   14,011      13          0            *         *         *         *         *         *         *         0          *           *              50                69                *              1000           //Blue Heart
   14,013      0           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Jewel of Bless
   14,014      0           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Jewel of Soul
   14,016      0           0            *         *         *         *         *         *         *         0          *           *              46                150               *              1000           //Jewel of Life
   14,017      1           0            *         *         *         *         *         *         *         0          *           *              1                 32                *              1000           //Devil's Eye 1
   14,017      2           0            *         *         *         *         *         *         *         0          *           *              33                45                *              1000           //Devil's Eye 2
   14,017      3           0            *         *         *         *         *         *         *         0          *           *              46                57                *              1000           //Devil's Eye 3
   14,017      4           0            *         *         *         *         *         *         *         0          *           *              58                68                *              1000           //Devil's Eye 4
   14,017      5           0            *         *         *         *         *         *         *         0          *           *              69                76                *              1000           //Devil's Eye 5
   14,017      6           0            *         *         *         *         *         *         *         0          *           *              77                84                *              1000           //Devil's Eye 6
   14,017      7           0            *         *         *         *         *         *         *         0          *           *              85                150               *              1000           //Devil's Eye 7
   14,018      1           0            *         *         *         *         *         *         *         0          *           *              1                 32                *              1000           //Devil's Key 1
   14,018      2           0            *         *         *         *         *         *         *         0          *           *              33                45                *              1000           //Devil's Key 2
   14,018      3           0            *         *         *         *         *         *         *         0          *           *              46                57                *              1000           //Devil's Key 3
   14,018      4           0            *         *         *         *         *         *         *         0          *           *              58                68                *              1000           //Devil's Key 4
   14,018      5           0            *         *         *         *         *         *         *         0          *           *              69                76                *              1000           //Devil's Key 5
   14,018      6           0            *         *         *         *         *         *         *         0          *           *              77                84                *              1000           //Devil's Key 6
   14,018      7           0            *         *         *         *         *         *         *         0          *           *              85                150               *              1000           //Devil's Key 7
   14,021      0           0            *         *         *         *         *         *         *         0          *           *              50                150               *              1000           //Rena
   14,021      3           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Sign of the Lord
   14,022      0           0            *         *         *         *         *         *         *         0          *           *              46                150               *              1000           //Jewel of Creation
   14,029      1           0            *         *         *         *         *         *         *         0          *           *              25                46                *              1000           //Symbol of Kundun 1
   14,029      2           0            *         *         *         *         *         *         *         0          *           *              47                65                *              1000           //Symbol of Kundun 2
   14,029      3           0            *         *         *         *         *         *         *         0          *           *              66                77                *              1000           //Symbol of Kundun 3
   14,029      4           0            *         *         *         *         *         *         *         0          *           *              78                83                *              1000           //Symbol of Kundun 4
   14,029      5           0            *         *         *         *         *         *         *         0          *           *              84                91                *              1000           //Symbol of Kundun 5
   14,029      6           0            *         *         *         *         *         *         *         0          *           *              92                113               *              1000           //Symbol of Kundun 6
   14,029      7           0            *         *         *         *         *         *         *         0          *           *              114               150               *              1000           //Symbol of Kundun 7
   14,041      0           0            *         *         *         *         *         *         *         0          39          *              69                150               *              1000           //Gemstone
   14,101      0           0            *         *         *         *         *         *         *         0          *           *              60                150               *              1000           //Suspicious Scrap of Paper
   14,110      0           0            *         *         *         *         *         *         *         0          *           *              60                150               *              1000           //Sign of Dimensions
   14,121      0           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Sealed Golden Box
   14,122      0           0            *         *         *         *         *         *         *         0          *           *              25                150               *              1000           //Sealed Silver Box
end
