//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// ----------------------------------------------------------
// [00,000]    [*/0~15]    [*/N]       [0~2000000000]
// ItemIndex   ItemLevel   ItemGrade   MoneyValue     Comment
// ----------------------------------------------------------
   14,089      *           *           300            //Red Cherry Blossom Branch
   14,090      *           *           300            //Golden Cherry Blossom Branch
   14,100      *           *           300            //Lucky Coin
   14,101      *           *           30000          //Suspicious Scrap of Paper
   14,102      *           *           30000          //Gaion's Order
   14,103      *           *           30000          //First Secromicon Fragment
   14,104      *           *           30000          //Second Secromicon Fragment
   14,105      *           *           30000          //Third Secromicon Fragment
   14,106      *           *           30000          //Fourth Secromicon Fragment
   14,107      *           *           30000          //Fifth Secromicon Fragment
   14,108      *           *           30000          //Sixth Secromicon Fragment
   14,109      *           *           30000          //Complete Secromicon
   14,110      *           *           30000          //Sign of Dimensions
   14,111      *           *           600000         //Mirror of Dimensions
   14,112      *           *           3000           //Silver Key
   14,113      *           *           3000           //Golden Key
   14,121      *           *           3000           //Sealed Golden Box
   14,122      *           *           3000           //Sealed Silver Box
   14,123      *           *           3000           //Golden Box
   14,124      *           *           3000           //Silver Box
   14,141      *           *           672000         //Shining Jewelry Case
   14,142      *           *           546000         //Elegant Jewelry Case
   14,143      *           *           471000         //Steel Jewelry Case
   14,144      *           *           363000         //Old Jewelry Case
end
