//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextIndex2   NextIndex3   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCDW   DW   DK   FE   MG   DL   SU   RF
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
34        7        0           257            1              *            *            *            34             1              *                 *                 *                 *                 *               *            *            1    1    0    0    0    0    0
35        7        0           257            1              *            *            *            35             1              *                 *                 *                 *                 *               *            *            0    0    0    0    0    1    0
end

1
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextIndex2   NextIndex3   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCDW   DW   DK   FE   MG   DL   SU   RF
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0         0        0           257            0              2            1            *            *              *              15                49                *                 *                 *               *            *            1    1    1    0    0    1    0
0         0        0           257            0              2            1            *            0              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
0         0        0           257            0              2            1            *            *              *              15                29                *                 *                 *               *            *            0    0    0    1    1    0    1
0         0        0           257            0              2            1            *            0              0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
1         0        0           257            2              *            *            *            1              2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
2         0        0           257            0              3            *            *            2              0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
3         0        0           257            0              4            *            *            3              0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
4         0        0           257            0              5            *            *            4              0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
5         0        0           257            0              6            *            *            5              0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
6         0        0           257            0              7            *            *            6              0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
7         0        0           257            0              8            *            *            7              0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
8         0        0           257            1              *            *            *            8              1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
9         0        0           257            0              11           10           *            8              3              15                49                *                 *                 *               *            *            1    1    1    0    0    1    0
9         0        0           257            0              11           10           *            9              0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
9         0        0           257            0              11           10           *            8              3              15                29                *                 *                 *               *            *            0    0    0    1    1    0    1
9         0        0           257            0              11           10           *            9              0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
10        0        0           257            2              *            *            *            10             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
11        0        0           257            1              *            *            *            11             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
12        0        0           257            0              14           13           *            11             3              15                49                *                 *                 *               *            *            1    1    1    0    0    1    0
12        0        0           257            0              14           13           *            12             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
12        0        0           257            0              14           13           *            11             3              15                29                *                 *                 *               *            *            0    0    0    1    1    0    1
12        0        0           257            0              14           13           *            12             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
13        0        0           257            2              *            *            *            13             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
14        0        0           257            1              *            *            *            14             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
15        0        0           257            0              17           16           *            14             3              15                49                *                 *                 *               *            *            1    1    1    0    0    1    0
15        0        0           257            0              17           16           *            15             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
15        0        0           257            0              17           16           *            14             3              15                29                *                 *                 *               *            *            0    0    0    1    1    0    1
15        0        0           257            0              17           16           *            15             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
16        0        0           257            2              *            *            *            16             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
17        0        0           257            1              *            *            *            17             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
18        1        0           257            0              20           19           *            *              *              50                119               *                 *                 *               *            *            1    1    1    0    0    1    0
18        1        0           257            0              20           19           *            18             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
18        1        0           257            0              20           19           *            *              *              30                99                *                 *                 *               *            *            0    0    0    1    1    0    1
18        1        0           257            0              20           19           *            18             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
19        1        0           257            2              *            *            *            19             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
20        1        0           257            0              21           *            *            20             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
21        1        0           257            0              22           *            *            21             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
22        1        0           257            0              23           *            *            22             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
23        1        0           257            0              24           *            *            23             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
24        1        0           257            0              25           *            *            24             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
25        1        0           257            0              26           *            *            25             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
26        1        0           257            1              *            *            *            26             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
27        1        0           257            0              29           28           *            26             3              50                119               *                 *                 *               *            *            1    1    1    0    0    1    0
27        1        0           257            0              29           28           *            27             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
27        1        0           257            0              29           28           *            26             3              30                99                *                 *                 *               *            *            0    0    0    1    1    0    1
27        1        0           257            0              29           28           *            27             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
28        1        0           257            2              *            *            *            28             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
29        1        0           257            1              *            *            *            29             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
30        1        0           257            0              32           31           *            29             3              50                119               *                 *                 *               *            *            1    1    1    0    0    1    0
30        1        0           257            0              32           31           *            30             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
30        1        0           257            0              32           31           *            29             3              30                99                *                 *                 *               *            *            0    0    0    1    1    0    1
30        1        0           257            0              32           31           *            30             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
31        1        0           257            2              *            *            *            31             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
32        1        0           257            1              *            *            *            32             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
33        1        0           257            0              35           34           *            32             3              50                119               *                 *                 *               *            *            1    1    1    0    0    1    0
33        1        0           257            0              35           34           *            33             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
33        1        0           257            0              35           34           *            32             3              30                99                *                 *                 *               *            *            0    0    0    1    1    0    1
33        1        0           257            0              35           34           *            33             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
34        1        0           257            2              *            *            *            34             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
35        1        0           257            1              *            *            *            35             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
36        2        0           257            0              37           *            *            *              *              120               179               *                 *                 *               *            *            1    1    1    0    0    1    0
36        2        0           257            0              37           *            *            36             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
36        2        0           257            0              37           *            *            *              *              100               159               *                 *                 *               *            *            0    0    0    1    1    0    1
36        2        0           257            0              37           *            *            36             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
37        2        0           257            0              39           38           *            37             0              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
38        2        0           257            2              *            *            *            38             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
39        2        0           257            1              *            *            *            39             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
40        2        0           257            0              42           41           *            39             3              120               179               *                 *                 *               *            *            1    1    1    0    0    1    0
40        2        0           257            0              42           41           *            40             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
40        2        0           257            0              42           41           *            39             3              100               159               *                 *                 *               *            *            0    0    0    1    1    0    1
40        2        0           257            0              42           41           *            40             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
41        2        0           257            2              *            *            *            41             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
42        2        0           257            1              *            *            *            42             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
43        2        0           257            0              45           44           *            42             3              120               179               *                 *                 *               *            *            1    1    1    0    0    1    0
43        2        0           257            0              45           44           *            43             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
43        2        0           257            0              45           44           *            42             3              100               159               *                 *                 *               *            *            0    0    0    1    1    0    1
43        2        0           257            0              45           44           *            43             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
44        2        0           257            2              *            *            *            44             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
45        2        0           257            1              *            *            *            45             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
46        3        0           257            0              48           47           *            *              *              180               239               *                 *                 *               *            *            1    1    1    0    0    1    0
46        3        0           257            0              48           47           *            46             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
46        3        0           257            0              48           47           *            *              *              160               219               *                 *                 *               *            *            0    0    0    1    1    0    1
46        3        0           257            0              48           47           *            46             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
47        3        0           257            2              *            *            *            47             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
48        3        0           257            1              *            *            *            48             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
49        3        0           257            0              51           50           *            48             3              180               239               *                 *                 *               *            *            1    1    1    0    0    1    0
49        3        0           257            0              51           50           *            49             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
49        3        0           257            0              51           50           *            48             3              160               219               *                 *                 *               *            *            0    0    0    1    1    0    1
49        3        0           257            0              51           50           *            49             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
50        3        0           257            2              *            *            *            50             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
51        3        0           257            1              *            *            *            51             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
52        3        0           257            0              54           53           *            51             3              180               239               *                 *                 *               *            *            1    1    1    0    0    1    0
52        3        0           257            0              54           53           *            52             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
52        3        0           257            0              54           53           *            51             3              160               219               *                 *                 *               *            *            0    0    0    1    1    0    1
52        3        0           257            0              54           53           *            52             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
53        3        0           257            2              *            *            *            53             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
54        3        0           257            1              *            *            *            54             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
55        4        0           257            0              57           56           *            *              *              240               299               *                 *                 *               *            *            1    1    1    0    0    1    0
55        4        0           257            0              57           56           *            55             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
55        4        0           257            0              57           56           *            *              *              220               279               *                 *                 *               *            *            0    0    0    1    1    0    1
55        4        0           257            0              57           56           *            55             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
56        4        0           257            2              *            *            *            56             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
57        4        0           257            1              *            *            *            57             1              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
58        4        0           257            0              60           59           *            57             3              240               299               *                 *                 *               *            *            1    1    1    0    0    1    0
58        4        0           257            0              60           59           *            58             0              *                 *                 *                 *                 *               *            *            1    1    1    0    0    1    0
58        4        0           257            0              60           59           *            57             3              220               279               *                 *                 *               *            *            0    0    0    1    1    0    1
58        4        0           257            0              60           59           *            58             0              *                 *                 *                 *                 *               *            *            0    0    0    1    1    0    1
59        4        0           257            2              *            *            *            59             2              *                 *                 *                 *                 *               *            *            1    1    1    1    1    1    1
