//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF
44        "Crescent Moon Slash"                90       22      15      4       0       0       *      0        0          0           0               0              0                0       1       0       0       0       0       0
45        "Lance"                              90       150     10      6       0       0       *      0        0          0           0               0              0                1       0       0       0       0       1       0
46        "Starfall"                           120      20      15      8       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0
47        "Impale"                             15       8       0       6       6       0       *      0        0          0           0               0              0                0       1       0       1       0       0       0
48        "Sweel Life"                         0        22      24      0       5       0       *      8        0          0           0               0              0                0       1       0       0       0       0       0
49        "Fire Breath"                        30       9       0       3       0       0       *      0        0          0           0               0              0                0       1       0       0       0       0       0
50        "Flame of Evil (Monster)"            0        0       0       0       6       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
51        "Ice Arrow"                          105      10      12      8       0       0       0      57       0          0           0               0              0                0       0       2       0       0       0       0
52        "Penetration"                        70       7       9       6       6       0       5      0        0          0           0               0              0                0       0       1       0       0       0       0
55        "Fire Slash"                         80       15      20      2       6       0       1      58       0          0           0               0              0                0       0       0       1       0       0       0
56        "Power Slash"                        0        15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0
57        "Spiral Slash"                       75       20      15      5       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0
60        "Force"                              10       10      0       4       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
61        "Fire Burst"                         100      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
62        "Earthquake"                         150      0       50      0       5       10000   4      0        0          0           0               0              0                0       0       0       0       1       0       0
63        "Summon"                             0        70      30      0       0       30000   *      0        0          0           0               0              0                0       0       0       0       1       0       0
64        "Increase Critical Damage"           0        50      50      6       6       0       *      5        0          0           0               0              0                0       0       0       0       1       0       0
65        "Electric Spark"                     250      0       100     0       6       5000    *      0        0          0           0               0              0                0       0       0       0       1       0       0
66        "Force Wave"                         50       10      0       4       3       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
67        "Stun"                               0        70      50      0       5       0       *      61       0          0           0               4              32               1       1       1       1       1       1       1
68        "Cancel Stun"                        0        25      30      0       5       0       *      0        0          0           0               2              32               1       1       1       1       1       1       1
69        "Swell Mana"                         0        35      30      0       5       0       *      9        0          0           0               4              32               1       1       1       1       1       1       1
70        "Invisibility"                       0        80      60      6       0       0       *      18       0          0           0               5              192              1       1       1       1       1       1       1
71        "Cancel Invisibility"                0        40      30      0       5       0       *      0        0          0           0               2              192              1       1       1       1       1       1       1
72        "Abolish Magic"                      0        90      70      0       5       0       *      0        0          0           0               8              128              0       0       0       0       1       0       0
73        "Mana Rays"                          85       130     7       6       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0
74        "Fire Blast"                         150      30      10      6       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
75        "Brand"                              0        100     35      0       5       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
76        "Plasma Storm"                       60       50      20      0       5       1500    *      0        0          0           0               0              0                2       2       2       1       1       2       1
77        "Infinity Arrow"                     0        50      10      0       0       200     *      6        0          0           0               0              0                0       0       1       0       0       0       0
78        "Fire Scream"                        130      45      10      4       6       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
79        "Explosion"                          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
200       "Monster Summon"                     0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
201       "Magic Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
202       "Physical Damage Immunity"           0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
210       "Spell of Protection"                0        30      0       0       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1       1
211       "Spell of Restriction"               0        30      0       3       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1       1
212       "Spell of Pursuit"                   0        30      0       0       0       0       0      0        0          0           0               10             0                1       1       1       1       1       1       1
213       "Shield-Burn"                        0        30      0       3       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1       1
214       "Drain Life"                         35       50      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1       0
215       "Chain Lightning"                    70       85      0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       1       0
216       "Electric Surge"                     90       100     0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1       0
217       "Damage Reflection"                  0        40      10      6       0       5000    *      71       0          0           0               0              0                0       0       0       0       0       1       0
218       "Berserker"                          0        100     50      0       0       5000    *      81       0          0           0               0              0                0       0       0       0       0       1       0
219       "Sleep"                              0        20      3       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       1       0
221       "Weakness"                           0        50      15      0       5       4000    *      76       0          0           0               0              0                0       0       0       0       0       1       0
222       "Innovation"                         0        70      15      0       5       4000    *      77       0          0           0               0              0                0       0       0       0       0       1       0
223       "Explosion"                          40       90      5       6       3       4000    3      75       0          0           0               0              0                0       0       0       0       0       1       0
224       "Requiem"                            65       110     10      6       4       4000    5      74       0          0           0               0              0                0       0       0       0       0       1       0
225       "Pollution"                          80       120     15      6       5       4000    2      56       0          0           0               0              0                0       0       0       0       0       1       0
230       "Lightning Shock"                    95       115     7       0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       1       0
232       "Strike of Destruction"              110      30      24      6       3       0       0      86       0          0           0               0              0                0       2       0       0       0       0       0
233       "Expansion of Wizardry"              0        200     50      0       0       0       *      82       0          0           0               0              0                2       0       0       0       0       0       0
234       "Recovery"                           0        40      10      6       0       0       *      0        0          0           0               0              0                0       0       2       0       0       0       0
235       "Multi-Shot"                         40       10      7       0       6       0       *      0        0          0           0               0              0                0       0       2       0       0       0       0
236       "Flame Strike"                       140      20      25      0       5       0       3      83       0          0           0               0              0                0       0       0       1       0       0       0
237       "Gigantic Storm"                     110      120     10      0       6       0       5      84       0          0           0               0              0                0       0       0       1       0       0       0
238       "Chaotic Diseier"                    190      50      15      0       6       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
239       "Doppeganger Self Explosion"         140      20      25      0       3       0       3      0        0          0           0               0              0                0       0       0       0       0       0       0 
260       "Killing Blow"                       0        9       0       2       0       0       4      76       0          0           0               0              0                0       0       0       0       0       0       1
261       "Beast Uppercut"                     0        9       0       2       0       0       3      58       0          0           0               0              0                0       0       0       0       0       0       1
262       "Chain Drive"                        0        15      20      4       0       700     0      86       0          0           0               0              0                0       0       0       0       0       0       1
263       "Dark Side"                          0        70      0       4       3       0       5      0        0          0           0               0              0                0       0       0       0       0       0       1
264       "Dragon Roar"                        0        50      30      3       5       700     4      0        0          0           0               0              0                0       0       0       0       0       0       1
265       "Dragon Slasher"                     0        100     100     4       0       3000    5      0        0          0           0               0              0                0       0       0       0       0       0       1
266       "Ignore Defense"                     0        50      10      0       0       0       *      129      0          0           0               0              0                0       0       0       0       0       0       1
267       "Increase Health"                    0        50      10      0       5       0       *      130      0          0           0               0              0                0       0       0       0       0       0       1
268       "Increase Block"                     0        50      10      0       5       0       *      131      0          0           0               0              0                0       0       0       0       0       0       1
269       "Charge"                             90       20      15      4       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       1
270       "Phoenix Shot"                       0        30      0       4       3       1200    4      0        0          0           0               0              0                0       0       0       0       0       0       1
//Master Skill Tree
300       "Durability Reduction (1)"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
301       "PvP Defence Rate Increase"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
302       "Maximum SD increase"                0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
303       "Auto Mana Recovery Increase"        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
304       "Poison Resistance Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
305       "Durability Reduction (2)"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
306       "SD Recovery Speed Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
307       "Automatic HP Recovery Increase"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
308       "Lightning Resistance Increase"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
309       "Defense Increase"                   0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
310       "Automatic AG Recovery Increase"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
311       "Ice Resistance Increase"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
312       "Durability Reduction (3)"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
313       "Defense Success Rate Increase"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
315   "Armor Set Bonus Increase"        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
316   "Vengeance"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
317   "Energy Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
318   "Stamina Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
319   "Agility Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
320   "AStrength Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
322   "Wing of Storm Defense PowUp"        0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
324   "Wing of Storm Attack PowUp"        0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
325       "Attack Success Rate Increase"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
326       "Cyclone Strengthener"               0        9       0       2       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
327       "Slash Strengthener"                 0        10      0       2       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
328       "Falling Slash Strengthener"         0        9       0       3       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
329       "Lunge Strengthener"                 0        9       0       2       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
330       "Twisting Slash Strengthener"        0        10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0       0
331       "Rageful Blow Strengthener"          60       25      22      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0
332       "Twisting Slash Mastery"             0        22      20      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0       0
333       "Rageful Blow Mastery"               60       50      30      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0
334       "Maximum Life Increase"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
335       "Weapon Mastery"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
336       "Slash Strengthener"                 70       15      13      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0       0
337       "Strike of Destruction Strengthen"   110      30      24      6       3       0       0      86       0          0           0               0              0                0       3       0       0       0       0       0
338       "Maximum Mana Increase"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
339   "Death Stab Proficiency"        70 30 26 2 2 0 5      0 0    0        0        0       0                0       3       0       0       0       0       0
340   "Strike of Destruction Proficienc"   110 30 24 6 3 0 0      86 0    0        0        0       0                0       3       0       0       0       0       0
341   "Maximum AG Increase"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
342   "Death Stab Mastery"                 70 30 26 2 2 0 5      0 0    0        0        0       0                0       3       0       0       0       0       0
343   "Strike of Destruction Mastery"      110      30 24 6 3 0 0      86 0    0        0        0       0                0       3       0       0       0       0       0
344   "Blood Storm"                 25 87 29 3 4       10000 *      0 0    0        0        0       0                0       3       0       3       0       0       0
345   "Combo Strengthener"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
346   "Blood Storm Strengthener"        25 95 31 3 4       10000 *      0 0    0        0        0       0                0       3       0       3       0       0       0
347       "Attack Rate"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
348       "Two-handed Sword Strengthener"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
349       "One-handed Sword Strengthener"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
350       "Mace Strengthener"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
351       "Spear Strengthener"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
352       "Two-handed Sword Mastery"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
353       "One-handed Sword Mastery"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
354       "Mace Mastery"                       0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
355       "Spear Mastery"                      0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
356       "Swell Life Strengthener"            0        24      26      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0       0
357       "Mana Reduction"                     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
358       "Monster Attack SD Increment"        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
359       "Monster Attack Life Increment"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
360       "Swell Life Proficiency"             0        26      28      0       5       0       *      135      0          0           0               0              0                0       3       0       0       0       0       0
361       "Minimum Attack Power Increase"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       3       0       0
362       "Monster Attack Mana Increment"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
363   "Swell Life Mastery"                 0 28 30 0 5 0 *      136      0          0           0               0              0                0       3       0       0       0       0       0
364   "Maximum Attack Power Increase"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       3       0       0
366   "Increases critical damage rate"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
367   "Restores all Mana"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
368   "Restores all HP"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
369   "Increases excellent damage rate"    0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
370   "Increases double damage rate"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
371   "Increases chance of ignore Def"     0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
372   "Restores all SD"                    0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
375   "Eternal Wings Defense PowUp"        0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
377   "Eternal Wings Attack PowUp"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
378       "Flame Strengthener"                 25       55      0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0
379       "Lightning Strengthener"             17       20      0       6       0       0       2      0        0          0           0               0              0                3       0       0       0       0       0       0
380       "Expansion of Wizardry Strengthen"   0        220     55      0       0       0       *      138      0          0           0               0              0                3       0       0       0       0       0       0
381       "Inferno Strengthener"               100      220     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0
382       "Blast Strengthener"                 70       165     0       0       6       0       2      0        0          0           0               0              0                3       0       0       0       0       0       0
383       "Expansion of Wizardry Mastery"      0        220     55      0       0       0       *      139      0          0           0               0              0                3       0       0       0       0       0       0
384       "Poison Strengthener"                12       46      0       6       0       0       1      55       0          0           0               0              0                3       0       0       0       0       0       0
385       "Evil Spirit Strengthener"           45       108     0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
386       "Magic Mastery"                      0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
387       "Decay Strengthener"                 95       120     10      6       4       0       1      55       0          0           0               0              0                3       0       0       0       0       0       0
388       "Hellfire Strengthener"              120      176     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0
389       "Ice Strengthener"                   10       42      0       6       0       0       0      56       0          0           0               0              0                3       0       0       0       0       0       0
390   "Meteor Strengthener"                21 13 0 6 0 0 4      0 0    0        0        0       0                3       0       0       0       0       0       0
391   "Ice Storm Strengthener"        80 110 5 6 4 0 0      56 0    0        0        0       0                3       0       0       0       0       0       0
392   "Nova Strengthener"         22 198 49 0 6 0 3      0 0    0        0        0       0                3       0       0       0       0       0       0
393   "Ice Storm Mastery"                80 110 5 6 4 0 0      56 0    0        0        0       0                3       0       0       0       0       0       0
394   "Meteor Mastery"                21 14 0 6 0 0 4      0 0    0        0        0       0                3       0       0       0       0       0       0
397       "One-handed Staff Strengthener"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
398       "Two-handed Staff Strengthener"      0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
399       "Shield Strengthener"                0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
400       "One-handed Staff Mastery"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
401       "Two-handed Staff Mastery"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
402       "Shield Mastery"                     0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
403       "Soul Barrier Strengthener"          0        77      27      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0       0
404       "Soul Barrier Proficiency"           0        84      27      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0       0
405       "Minimum Wizardry Increase"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
406   "Soul Barrier Mastery"               0 92 28 6 0 0 *      140 0    0        0        0       0                3       0       0       0       0       0       0
407   "Maximum Wizardry Increase"          0 0 0 0 0 0 *      0 0    0        0        0       0                3       0       0       3       0       0       0
410   "Illusion Wings Defense PowUp"       0 0 0 0 0 0 *      0 0     0        0        0       0                0       0       3       0       0       0       0
411   "Multi-Shot Strengthener"            40 11 7 0 6 0 *      0 0    0        0        0       0                0       0       3       0       0       0       0
412   "Illusion Wings Attack PowUp"        0 0 0 0 0 0 *      0 0    0        0        0       0                0       0       3       0       0       0       0
413       "Heal Strengthener"                  0        22      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
414       "Triple Shot Strengthener"           0        5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
415       "Summoned Monster Strengthener (1)"  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
416       "Penetration Strengthener"           70       10      11      0       6       0       5      0        0          0           0               0              0                0       0       3       0       0       0       0
417       "Defense Increase Strengthener"      0        33      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0       0
418       "Triple Shot Mastery"                0        9       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
419       "Summoned Monster Strengthener (2)"  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
420       "Attack Increase Strengthener"       0        44      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0       0
421       "Weapon Mastery"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
422       "Attack Increase Mastery"            0        48      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0       0
423       "Defense Increase Mastery"           0        36      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0       0
424       "Ice Arrow Strengthener"             105      15      18      8       0       0       0      57       0          0           0               0              0                0       0       3       0       0       0       0
425   "Cure"                               0 72 10 6 0       3000 *      0 0    0        0        0       0                0       0       3       0       0       0       0
426   "Party Healing"                      0 66 12 6 6       10000 *      0 0    0        0        0       0                0       0       3       0       0       0       0
427   "Poison Arrow"                       27 22 27 6 0       10000 1      159 0    0        0        0       0                0       0       3       0       0       0       0
428   "Summoned Monster Strengthener (3)"  0 0 0 0 0       0 *      0 0    0        0        0       0                0       0       3       0       0       0       0
429   "Party Healing Strengthener"         22 72 13 6 6       10000 *      0 0    0        0        0       0                0       0       3       0       0       0       0
430   "Bless"                              0 108 18 6 0       3000 *      142 0    0        0        0       0                0       0       3       0       0       0       0
431   "Multi-Shot Mastery"                 40 12 8 0 6       0 *      0 0    0        0        0       0                0       0       3       0       0       0       0
432   "Summon Satyros"                     0 525 52 0 0       0 *      0 0    0        0        0       0                0       0       3       0       0       0       0
433   "Bless Strengthener"                 0 118 20 6 0       3000 *      142 0    0        0        0       0                0       0       3       0       0       0       0
434   "Poison Arrow Strengthener"          27 24 29 6 0       10000 1      160 0    0        0        0       0                0       0       3       0       0       0       0
435       "Bow Strengthener"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
436       "Crossbow Strengthener"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
437       "Shield Strengthener"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
438       "Bow Mastery"                        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
439       "Crossbow Mastery"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
440       "Shield Mastery"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
441       "Infinity Arrow Strengthener"        0        55      11      0       0       200     *      143      0          0           0               0              0                0       0       3       0       0       0       0
442       "Minimum Attack Power Increase"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
443   "Maximum Attack Power Increase"      0 0 0 0 0       0 *      0        0          0           0               0              0                0       0       3       0       0       0       0
446   "Dimension Wings Defense PowUp"      0 0 0 0 0       0 *      0        0          0           0               0              0                0       0       0       0       0       3       0
447   "Dimension Wings Attack PowUp"       0 0 0 0 0       0 *      0        0          0           0               0              0                0       0       0       0       0       3       0
448       "Fire Tome Strengthener"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
449       "Wind Tome Strengthener"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
450       "Lightning Tome Strengthener"        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
451       "Fire Tome Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
452       "Wind Tome Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
453       "Lightning Tome Mastery"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
454       "Sleep Strengthener"                 0        30      7       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3       0
455       "Chain Lightning Strengthener"       70       103     0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3       0
456       "Lightning Shock Strengthener"       95       125     10      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3       0
457       "Magic Mastery"                      0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
