//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

// -----------------------------------------------------------------------------------------------------------------------------------
//                 [*/00,000]   [Max 32 Char]                        [0-1]  [0~2]  [0-1]  [*/InSec]  [*/N]    [*/N]    [*/N]    [*/N]
// Index   Group   ItemIndex    Name                                 Save   Type   Flag   Duration   Power1   Power2   Power3   Power4
// -----------------------------------------------------------------------------------------------------------------------------------
   42      65      13,045       "Seal of Sustenance"                 1      2      0      1800       *        *        *        * 
   43      57      13,059       "Seal of Movement"                   1      2      0      1800       *        *        *        * 
   44      67      14,072       "Scroll of Quick"                    1      2      0      1800       15       *        *        * 
   45      68      14,073       "Scroll of Defense"                  1      2      0      1800       60       *        *        * 
   46      69      14,074       "Scroll of Damage"                   1      2      0      1800       30       *        *        * 
   47      70      14,075       "Scroll of Magic Damage"             1      2      0      1800       30       *        *        * 
   48      71      14,076       "Scroll of Life"                     1      2      0      1800       200      *        *        * 
   49      72      14,077       "Scroll of Mana"                     1      2      0      1800       300      *        *        * 
   50      26      14,078       "Elixir of Strength"                 1      2      0      1800       50       *        *        * 
   51      26      14,079       "Elixir of Dexterity"                1      2      0      1800       50       *        *        * 
   52      26      14,080       "Elixir of Vitality"                 1      2      0      1800       50       *        *        * 
   53      26      14,081       "Elixir of Energy"                   1      2      0      1800       50       *        *        * 
   54      26      14,082       "Elixir of Leadership"               1      2      0      1800       50       *        *        * 
   55      27      *            "Poison"                             0      0      1      *          *        *        *        * 
   56      28      *            "Ice"                                0      0      1      *          *        *        *        * 
   57      29      *            "Ice Arrow"                          0      0      1      *          *        *        *        * 
   58      30      *            "Fire Slash"                         1      0      1      *          *        *        *        * 
   59      31      *            "Physi Damage Immunity"              0      0      0      *          *        *        *        * 
   60      32      *            "Magic Damage Immunity"              0      0      0      *          *        *        *        * 
   61      33      *            "Stern"                              0      0      1      *          *        *        *        * 
   62      34      *            "Magic Defense"                      0      0      0      *          *        *        *        * 
   63      35      *            "Monster Physi Damage Immunity"      0      0      0      *          *        *        *        * 
   64      36      *            "Monster Magic Damage Immunity"      0      0      0      *          *        *        *        * 
   65      37      *            "Order of Restraint"                 0      0      1      *          *        *        *        * 
   66      38      *            "Crywolf State 8"                    0      0      0      *          *        *        *        * 
   67      38      *            "Crywolf State 9"                    0      0      0      *          *        *        *        * 
   68      38      *            "Crywolf State 10"                   0      0      0      *          *        *        *        * 
   69      38      *            "Crywolf State 11"                   0      0      0      *          *        *        *        * 
   70      38      *            "Crywolf State 12"                   0      0      0      *          *        *        *        * 
   71      39      *            "Damage Reflect"                     1      0      0      *          *        *        *        * 
   72      40      *            "Sleep"                              0      0      1      *          *        *        *        * 
   73      40      *            "Blind"                              1      0      1      *          *        *        *        *
   74      41      *            "Neil"                               0      0      1      *          *        *        *        * 
   75      42      *            "Sahamutt"                           0      0      1      *          *        *        *        * 
   76      43      *            "Lesser Damage"                      1      0      1      *          *        *        *        * 
   77      44      *            "Lesser Defense"                     1      0      1      *          *        *        *        * 
   78      23      14,085       "Cherry Blossom 1"                   1      1      0      1800       700      *        *        * 
   79      23      14,086       "Cherry Blossom 2"                   1      1      0      1800       700      *        *        * 
   80      23      14,087       "Cherry Blossom 3"                   1      1      0      1800       40       *        *        * 
   81      21      *            "Sword Power"                        1      0      0      *          *        *        *        * 
   82      45      *            "Magic Circle"                       1      0      0      *          *        *        *        * 
   83      46      *            "Sword Slash"                        0      0      1      *          *        *        *        * 
   84      47      *            "Lightning Storm"                    0      0      1      *          *        *        *        * 
   85      48      *            "Red Storm"                          0      0      1      *          *        *        *        * 
   86      49      *            "Frozen Stab"                        0      0      1      *          *        *        *        * 
   87      13      13,062       "Seal of Life"                       1      2      0      1800       50       5        *        * 
   88      13      13,063       "Seal of Mana"                       1      2      0      1800       50       5        *        * 
   89      73      14,097       "Scroll of Battle"                   1      2      0      1800       20       *        *        * 
   90      74      14,098       "Scroll of Strength"                 1      2      0      1800       20       *        *        * 
   91      23      *            "Christmas 1"                        1      1      0      1800       *        *        *        * 
   92      23      *            "Christmas 2"                        1      1      0      1800       500      *        *        * 
   93      23      *            "Christmas 3"                        1      1      0      1800       500      *        *        * 
   94      23      *            "Christmas 4"                        1      1      0      1800       30       *        *        * 
   95      23      *            "Christmas 5"                        1      1      0      1800       100      *        *        * 
   96      23      *            "Christmas 6"                        1      1      0      1800       15       *        *        * 
   97      23      *            "Christmas 7"                        1      1      0      1800       5        *        *        * 
   98      50      *            "Duel Arena Watch"                   0      0      0      *          *        *        *        * 
   99      52      13,081       "Talisman of Guardian"               1      2      0      1800       *        *        *        * 
   100     53      13,082       "Talisman of Protection"             1      2      0      1800       *        *        *        * 
   101     60      13,093       "Master Seal of Ascension"           1      2      0      1800       50       *        *        * 
   102     61      13,094       "Master Seal of Wealth"              1      2      0      1800       100      50       *        * 
   103     51      *            "Gladiator's Glory"                  1      1      0      *          *        *        *        * 
   105     54      *            "Double Goer Delete"                 0      0      0      *          *        *        *        *
   112     24      13,103       "Party Experience Bonus"             1      2      0      1800       90       10       *        *
   113     58      13,104       "Max AG Boost Aura"                  1      2      0      1800       10       *        *        *
   114     58      13,105       "Max SD Boost Aura"                  1      2      0      1800       10       *        *        *
   121     75      14,140       "Scroll of Healing"                  1      2      0      1800       3        100      *        * 
   122     76      13,128       "Hawk Figurine"                      0      1      0      *          10       *        *        *
   123     76      13,129       "Goat Figurine"                      0      1      0      *          10       *        *        *
   124     77      13,130       "Oak Charm"                          0      1      0      *          50       *        *        *
   125     77      13,131       "Maple Charm"                        0      1      0      *          50       *        *        *
   126     77      13,132       "Golden Oak Charm"                   0      1      0      *          100      500      *        *
   127     77      13,133       "Golden Maple Charm"                 0      1      0      *          150      50       *        *
   128     78      13,134       "Worn Horseshoe"                     0      1      0      *          20       *        *        *
   129     79      *            "Greater Ignore Defense Rate"        1      0      0      *          *        *        *        * 
   130     80      *            "Fitness"                            1      0      0      *          *        *        *        * 
   131     81      *            "Greater Defense Success Rate"       1      0      0      *          *        *        *        * 
   132     82      *            "Phoenix Shot"                       1      0      1      *          *        *        *        *
   134     84      *            "Iron Defense"                       1      0      0      *          *        *        *        * 
   135     8       *            "Greater Life Enhanced"              1      0      0      *          *        *        *        *
   136     8       *            "Greater Life Mastered"              1      0      0      *          *        *        *        * 
   137     85      *            "Death Stab Enhanced"                0      0      1      *          *        *        *        * 
   138     45      *            "Magic Circle Improved"              1      0      0      *          *        *        *        * 
   139     45      *            "Magic Circle Enhanced"              1      0      0      *          *        *        *        *
   140     4       *            "Mana Shield Mastered"               1      0      0      *          *        *        *        * 
   141     86      *            "Frozen Stab Mastered"               0      0      1      *          *        *        *        * 
   142     87      *            "Bless"                              0      0      0      *          *        *        *        * 
   143     6       *            "Infinity Arrrow Improved"           1      0      0      *          *        *        *        * 
   144     88      *            "Blind Improved"                     1      0      1      *          *        *        *        * 
   145     89      *            "Drain Life Enhanced"                0      0      1      *          *        *        *        * 
   146     90      *            "Ice Storm Enhanced"                 0      0      1      *          *        *        *        * 
   147     91      *            "Earth Prison"                       0      0      1      *          *        *        *        * 
   148     5       *            "Greater Critical D. Mastered"       1      0      0      *          *        *        *        *
   149     5       *            "Greater Critical D. Extended"       1      0      0      *          *        *        *        *
   150     21      *            "Sword Power Improved"               1      0      0      *          *        *        *        * 
   151     21      *            "Sword Power Enhanced"               1      0      0      *          *        *        *        * 
   152     21      *            "Sword Power Mastered"               1      0      0      *          *        *        *        * 
   153     81      *            "Greater D. S. Rate Improved"        1      0      0      *          *        *        *        * 
   154     81      *            "Greater D. S. Rate Enhanced"        1      0      0      *          *        *        *        * 
   155     80      *            "Fitness Improved"                   1      0      0      *          *        *        *        * 
   157     92      *            "Dragon Lore Enhanced"               0      0      1      *          *        *        *        * 
   158     93      *            "Chain Driver Enhanced"              0      0      1      *          *        *        *        * 
   159     94      *            "Poison Arrow"                       0      0      1      *          *        *        *        * 
   160     94      *            "Poison Arrow Improved"              0      0      1      *          *        *        *        * 
   161     87      *            "Bless Improved"                     0      0      0      *          *        *        *        * 
   162     43      *            "Lesser Damage Improved"             1      0      1      *          *        *        *        * 
   163     44      *            "Lesser Defense Improved"            1      0      1      *          *        *        *        * 
   164     30      *            "Fire Slash Enhanced"                1      0      1      *          *        *        *        *
   165     84      *            "Iron Defense Improved"              1      0      0      *          *        *        *        * 
   166     95      *            "Blood Howling"                      1      0      0      *          *        *        *        *
   167     95      *            "Blood Howling Improved"             1      0      0      *          *        *        *        *
end
