//############################################################
//# -- SSEMU MUONLINE SERVER EMULATOR
//# -- www.ssemu.com.ar
//# -- www.facebook.com/ssemuemulator
//# -- © 2023 SetecSoft Development
//# ----------------------------------------------------------
//# -- File is a part of SSeMU MuOnline Server files.
//############################################################

0
// ---------------------------------------------
//             [1~255]     [1~255]     [*/0~8]
// MapNumber   LocationX   LocationY   Direction
// ---------------------------------------------
   51          22          225         2
end

1
// ------------------------------------------------------------------------------
// [*/0000]    [*/0~12]     [*/0~31]   [*/1~7]    [*/0~23]    [*/0~59]   [*/0~59]
// StartYear   StartMonth   StartDay   StartDoW   StartHour   StartMin   StartSec
// ------------------------------------------------------------------------------
   *           *            *          *          2           0          0
   *           *            *          *          8           0          0
   *           *            *          *          14          0          0
   *           *            *          *          20          0          0
end

2
// -------------------------------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]   [Level]   [Skill]   [Luck]    [JoL]     [Exc]     [Set]     [Socket]
// -------------------------------------------------------------------------------------------------------------------------------
// [00,000]    [0~4]           [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [0~10000]
// ItemIndex   MossItemGroup   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
// -------------------------------------------------------------------------------------------------------------------------------
   04,020      2               9         9         9         9         9         9         9         2000         //Arrow Viper Bow
   02,012      3               9         9         9         9         9         9         9         2000         //Great Lord Scepter
   05,017      4               9         9         9         9         9         9         9         2000         //Ancient Stick
   00,020      0               9         9         9         9         9         9         9         1000         //Knight Blade
   00,021      0               9         9         9         9         9         9         9         1000         //Dark Reign Blade
   00,031      0               9         9         9         9         9         9         9         1000         //Rune Blade
   00,024      0               9         9         9         9         9         9         9         1000         //Daybreak
   00,025      0               9         9         9         9         9         9         9         1000         //Sword Dancer
   05,009      1               9         9         9         9         9         9         9         1000         //Dragon Soul Staff
   05,011      1               9         9         9         9         9         9         9         1000         //Staff of Kundun
   05,013      1               9         9         9         9         9         9         9         1000         //Platina Staff
   04,022      2               9         9         9         9         9         9         9         1000         //Albatross Bow
   02,015      3               9         9         9         9         9         9         9         1000         //Shinning Scepter
   05,018      4               9         9         9         9         9         9         9         1000         //Demonic Stick
   14,096      0               9         9         9         9         9         9         9         100          //Talisman of Chaos Assembly
   14,096      1               9         9         9         9         9         9         9         100          //Talisman of Chaos Assembly
   14,096      2               9         9         9         9         9         9         9         100          //Talisman of Chaos Assembly
   14,096      3               9         9         9         9         9         9         9         100          //Talisman of Chaos Assembly
   14,096      4               9         9         9         9         9         9         9         100          //Talisman of Chaos Assembly
end
